1,"학교 등교 시간이 언제인가요?","오전 8시 20분부터 오전 8시 40분 사이에 등교할 수 있습니다."
2,"급식 메뉴는 어떻게 확인할 수 있나요?","학교 홈페이지나 모바일 앱에서 매일의 급식 메뉴를 확인할 수 있습니다."
3,"자녀의 성적은 어떻게 확인하나요?","온라인 학부모 포털을 통해 자녀의 성적과 학업 진행 상황을 확인할 수 있습니다."
4,"학교 보건실 운영 시간은 언제인가요?","평일 오전 8시부터 오후 4시 30분까지 운영됩니다."
5,"자녀가 아프면 어떻게 해야 하나요?","보건실에 연락하거나 담임 선생님에게 알려주시면 적절한 조치를 취해드립니다."
6,"학교 주차장 이용 규정이 어떻게 되나요?","지정된 학부모 주차 구역을 이용해 주시기 바랍니다. 방문 시 안내데스크에서 주차 티켓을 받으세요."
7,"분실물은 어떻게 찾나요?","분실물 센터에서 잃어버린 물건을 확인하거나 문의할 수 있습니다."
8,"학부모 상담은 어떻게 예약하나요?","학교 웹사이트나 담임 선생님에게 연락하여 상담 일정을 조정할 수 있습니다."
9,"학교 폭력 예방 정책은 무엇인가요?","학교는 zero-tolerance 정책을 통해 학생들의 안전을 최우선으로 보장합니다."
10,"방과후 프로그램은 어떤 것들이 있나요?","다양한 학술, 예술, 체육 프로그램이 운영되며 학교 홈페이지에서 상세 내용을 확인할 수 있습니다."
11,"자녀의 결석은 어떻게 알려야 하나요?","온라인 결석 신고 시스템이나 담임 선생님에게 직접 연락해 주시면 됩니다."
12,"학교 주요 행사 일정은 어떻게 확인하나요?","학교 달력을 온라인으로 확인하거나 월간 뉴스레터를 구독할 수 있습니다."
13,"emergency 연락망은 어떻게 되나요?","학교에 등록된 비상 연락처로 중요한 상황 시 즉시 연락드립니다."
14,"학교 제복 구매는 어떻게 하나요?","학교 내 매점이나 지정된 온라인 쇼핑몰에서 구매 가능합니다."
15,"급식비는 어떻게 납부하나요?","온라인 결제 시스템을 통해 월별로 납부할 수 있습니다."
16,"자녀의 학습 진도는 어떻게 파악할 수 있나요?","정기적인 성적표와 온라인 학습 관리 시스템을 통해 확인 가능합니다."
17,"학교 Wi-Fi 사용 규정은 무엇인가요?","학생들은 교육적 목적으로만 Wi-Fi를 사용할 수 있으며, 엄격한 인터넷 사용 정책이 적용됩니다."
18,"교통안전을 위한 학교의 조치는 무엇인가요?","등하교 시간 전담 교통 요원 배치, 안전 횡단보도 운영 등의 조치를 취하고 있습니다."
19,"특별활동이나 봉사활동은 어떻게 참여할 수 있나요?","담임 선생님이나 학생회에 문의하여 참여 방법을 안내받을 수 있습니다."
20,"학교 내 도서관 이용 시간은 언제인가요?","평일 오전 8시부터 오후 5시까지 이용 가능합니다."
21,"자녀의 알레르기나 특별한 의료 상황은 어떻게 알려야 하나요?","입학 시 또는 변경 시 보건실과 담임 선생님에게 상세히 알려주셔야 합니다."
22,"학교 상벌 규정은 어떻게 되나요?","학생 행동 지침서에 상세히 명시되어 있으며, 공정하고 일관된 원칙을 따릅니다."
23,"현장학습이나 수학여행은 어떻게 진행되나요?","학부모 동의서를 받으며, 상세 일정과 비용은 사전에 안내해 드립니다."
24,"학교 보안 시스템은 어떻게 운영되나요?","CCTV 모니터링, 출입 통제 시스템 등을 통해 학생들의 안전을 보장합니다."
25,"자녀의 학업 부진 시 어떤 지원이 있나요?","개인 맞춤 학습 지원 프로그램과 튜터링 서비스를 제공합니다."
26,"학교 상담 서비스는 어떻게 받을 수 있나요?","심리 상담사와 예약제로 개인 또는 그룹 상담이 가능합니다."
27,"외국어 프로그램은 어떤 것들이 있나요?","영어, 중국어, 일본어 등 다양한 외국어 프로그램을 운영하고 있습니다."
28,"학교 동아리 활동은 어떻게 참여할 수 있나요?","학기 초 동아리 박람회를 통해 다양한 동아리를 소개하고 가입을 받습니다."
29,"학교 내 스포츠 시설은 어떤 것들이 있나요?","체육관, 운동장, 테니스 코트, 수영장 등 다양한 스포츠 시설을 갖추고 있습니다."
30,"자녀의 스마트폰 사용 규정은 어떻게 되나요?","수업 시간 중 스마트폰 사용을 제한하고 있으며, 교육적 목적으로만 제한적 사용을 허용합니다."
31,"학교 기부 및 후원 프로그램은 어떤 것들이 있나요?","장학금 프로그램과 학교 발전 기금 등 다양한 기부 프로그램이 운영됩니다."
32,"학교 안전 교육은 어떻게 진행되나요?","정기적인 소방 훈련, 지진 대비 훈련 등 다양한 안전 교육 프로그램을 실시합니다."
33,"학생 건강검진은 어떻게 이루어지나요?","연 1-2회 정기적인 건강검진을 실시하며, 결과는 학부모에게 개별 통보됩니다."
34,"자녀의 미술이나 음악 활동은 어떻게 지원되나요?","전문 예술 강사와 함께하는 다양한 예술 프로그램을 운영하고 있습니다."
35,"학교 내 컴퓨터 및 IT 시설은 어떻게 되어있나요?","최신 컴퓨터 랩, 태블릿, 스마트 보드 등 첨단 IT 장비를 구비하고 있습니다."
36,"학교 인근 통학버스 노선은 어떻게 되나요?","다양한 지역을 커버하는 통학버스 노선을 운영하고 있으며, 노선도는 학교 웹사이트에서 확인 가능합니다."
37,"학부모 자원봉사는 어떻게 참여할 수 있나요?","학교 행사, 도서관, 과외활동 등 다양한 분야에서 자원봉사 기회를 제공합니다."
38,"학교 미술관이나 과학관 같은 특별 시설이 있나요?","학내에 소규모 미술관과 과학 전시실을 운영하여 학생들의 문화, 과학 교육을 지원합니다."
39,"다문화 학생을 위한 지원 프로그램은 무엇인가요?","언어 지원, 문화 적응 프로그램, 멘토링 서비스 등을 제공합니다."
40,"학교 성적 평가 방식은 어떻게 되나요?","절대평가와 상대평가를 병행하며, 다양한 평가 방식을 통해 학생들의 잠재력을 평가합니다."
41,"자녀의 진로 상담은 어떻게 받을 수 있나요?","전문 진로 상담사와 정기적인 개인 상담 및 진로 박람회를 통해 지원합니다."
42,"학교 내 장애학생 지원 서비스는 어떤 것들이 있나요?","특수교육 전문가, 보조 기구 지원, 개인 맞춤 학습 지원 등을 제공합니다."
43,"우천 시 등하교 대비책은 무엇인가요?","우천 시 안전한 등하교를 위해 학교 내 대기 공간과 보호자 대기 구역을 마련하고 있습니다."
44,"학교 내 식품 알레르기 대응 정책은 무엇인가요?","개별 학생의 알레르기 정보를 관리하고, 안전한 급식을 위한 엄격한 대응 지침을 운영합니다."
45,"자녀의 국제 교류 프로그램 참여 기회는 어떻게 되나요?","자매학교 교환학생 프로그램, 국제 문화 교류 프로그램 등을 운영하고 있습니다."
46,"학교 내 환경 보호 및 지속가능성 교육은 어떻게 이루어지나요?","재활용 프로그램, 환경 교육, 친환경 캠페인 등을 통해 지속가능한 교육을 실시합니다."
47,"자녀의 온라인 학습 플랫폼 사용은 어떻게 모니터링되나요?","학부모 계정을 통해 자녀의 온라인 학습 진행 상황과 성과를 확인할 수 있습니다."
48,"학교 내 인성 교육 프로그램은 어떤 것들이 있나요?","리더십 캠프, 봉사활동, 인성 워크샵 등 다양한 프로그램을 운영합니다."
49,"자녀의 스트레스 관리를 위한 학교의 노력은 무엇인가요?","심리 상담, 명상 프로그램, 스트레스 관리 워크샵 등을 제공합니다."
50,"학교 보험 및 안전 보장은 어떻게 되어있나요?","학생 상해 보험, 배상 책임 보험 등 포괄적인 보험 서비스를 제공하고 있습니다."
